114,The American Stage: Writing on Theater from Washington Irving to Tony Kushner,Lawrence Senelick,9.78E+12,1598530690,$29.30 ,Hardcover,Library of America,10-Apr,,"U.S. & Canadian Drama - Literary Criticism, United States - Theater - History & Criticism, American Literature Anthologies",,850
115,Bum Rush the Page: A Def Poetry Jam,Tony Medina,9.78E+12,609808400,$14.95 ,Paperback,Crown Publishing Group,1-Oct,1ST,"Poetry, American Literature Anthologies, Anthologies",,320
116,The Outlaw Bible of American Literature,Alan Kaufmann,9.78E+12,1560255501,$16.92 ,Paperback,Basic Books,4-Dec,First Trade Paper Edition,American Literature Anthologies,,920
117,Mother California: A Story of Redemption Behind Bars,Kenneth E. Hartman,9.78E+12,1934633941,$14.00 ,Paperback,Atlas & Co.,10-Sep,,"Biographies &amp; Autobiographies, General",,
118,The Best American Short Stories 2003,Walter Mosley,9.78E+12,618197338,$21.95 ,Paperback,Houghton Mifflin Harcourt,3-Oct,Older Edition,"American Fiction, Short Story Collections (Single Author), Short Story Anthologies, American Literature Anthologies",,386
119,Spider Woman's Granddaughters: Traditional Tales and Contemporary Writing by Native American Women,Paula Gunn Allen,9.78E+12,044990508X,$10.31 ,Paperback,Random House Publishing Group,May-90,Reissue,"American Literature Anthologies, Native American Folklore & Mythology, Anthologies, World Literature, Fiction Subjects, Native North American People",,288
120,Transforming a Rape Culture,Emilie Buchwald,9.78E+12,1571312692,$15.13 ,Paperback,Milkweed Editions,4-Aug,Revised,"Criminology - Bias Crimes, Family Abuse & Violence, Regional American Anthologies, Sexual Harassment, Criminology - Sex Crimes, Women & Crime",,424
121,American Food Writing: An Anthology with Classic Recipes,Molly O'Neill,9.78E+12,1598530410,$24.00 ,Paperback,Library of America,9-Jan,,"Cooking, Essays",,
122,Baseball: A Literary Anthology,Nicholas Dawidoff,9.78E+12,193108209X,$25.31 ,Hardcover,Library of America,2-Feb,1,"Baseball & Softball, American Literature Anthologies, General & Miscellaneous Literature Anthologies, Fiction Subjects",,721
123,Loving in the War Years: Lo que nunca paso por sus labios,Cherrie Moraga,9.78E+12,896086267,$16.28 ,Paperback,South End Press,Sep-00,2ND,"Short Story Collections (Single Author), Hispanic Americans - Fiction & Literature, Peoples & Cultures - American Anthologies, Gay & Lesbian Fiction, Feminism & Feminist Theory, Literature Anthologies - General & Miscellaneous, Feminism & Literature",,264
124,Don't Squat With Your Spurs On: A Cowboy's Guide to Life,Texas Bix Bender,9.78E+12,142360699X,$7.99 ,Paperback,"Smith, Gibbs Publisher",9-Oct,Revised,"American Humor - Peoples & Cultures, American Literature Anthologies",,128
